igoID,igoAbbr,igoShortName,igoLongName,StartYear,EndYear,EndReason,Notes
1890,SIECA,General Treaty on Cent Am Econ Integration,General Treaty on Central American Economic Integration/Permanent Secretariate o,1960.0,,,
4180,SITTDEC,"South Investment, Trade & Tech. Data Exchg. Center","South Investment, Trade and Technological Data Exchange Centre",1990.0,,,
4190,SPC,South Pacific Comm,South Pacific Commission/Secretariat of the Pacific Commission (SPC),1947.0,,,
4130,SRDO,Senegal River Dev. Org.,Senegal River Development Organization,1972.0,,,
4150,SWAPU,South & West African Postal Union,South and West Asia Postal Union (SWAPU),1987.0,2002.0,,
4265,SWPD,South-West Pacific Dialogue,South-West Pacific Dialogue (SWPD),2002.0,,,"http://www.kbri-canberra.org.au/press/press041203e_deplu.htm - http://www.dfat.gov.au/asean/joint_media_statement.html - www.mne.gov.tl/en/index.php?option=com_content&view=article&id=20&Itemid=55;  http://portal.unesco.org/education/en/ev.php-URL_ID=31056&URL_DO=DO_TOPIC&URL_SECTION=201.html - www.lins.no/events/NETF%20Completion%2007%20Presentations/FAPED%20Program.ppt - www.dakar.unesco.org/news/faped/en/020131_faped.shtml;   Dakar Website (accessed 11/1/08): [lists Mauritius,  Namibia, Senegal, Sudan, Tanzania as the countries that participated in drafting Charter in 2002].  YIO lists as H (Inactive), but Power Point presentation website from 2007 indicates it is; http://www.unctad.org/infocomm/anglais/rubber/ecopolicies.htm#ITRO;  Website; Notes"
4290,SugU,Sugar Union,Sugar Union,1902.0,1913.0,,
4330,TARHEC,Tropical Ag. Research & Higher Educ. Center,Tropical Agriculture Research and Higher Education Center,1973.0,,,
4320,TCRMG,Tripartite Agreement for Monetary Gold,Tripartite Commission for the Restitution of Monetary Gold,1946.0,1998.0,,
4310,TIC,Trade/Invest Council,Trade and Investment Council,1998.0,,,
3330,Turksoy,Joint Admin. of Turkish Culture & Arts,Joint Administration of the Turkic Culture and Arts (TURKSOY),1993.0,,,
4380,UASC,United Arab Shipping Co.,United Arab Shipping Company (UASC),1976.0,,,
4370,UBEC,Union of Banana Exporting Countries,Union of Banana Exporting Countries,1974.0,1996.0,,
940,UDEAC,Central African Customs & Economic Union,Central African Customs and Economic Union (UDEAC),1964.0,1994.0,replaced,
4340,UEMOA,West African Economic & Monetary Union,Union conomique et mon taire Ouest africaine (UEMOA),1994.0,,,
4350,UIUCV,Union for Intl Use of Carriages & Vans,Union for the International Use of Carriages and Vans,1923.0,1979.0,,
4390,UKDWD,UK Dominion Wool Disposals,United Kingdom--Dominion Wool Disposals,1945.0,1953.0,,
4365,UMAC,Central African Monetary Union,Union montaire de l'Afrique centrale (UMAC),1972.0,1994.0,replaced,
4503,UMOA,West African Monetary Union,West African Monetary Union/UMOA,1962.0,1994.0,integrated,
4400,UN,United Nations,United Nations,1945.0,,,
2790,UNDROIT,Intl Instit for Unification of Private Law,International Institute for the Unification of Private Law/UNIDROIT,1926.0,,,
4410,UNESCO,"UN Education, Scientific, & Cultural Org","United Nations Educational, Scientific, and Cultural Organization (UNESCO)",1945.0,,,
4420,UNIDO,UN Industrial Development Org,United Nations Industrial Development Organization (UNIDO),1966.0,,,
4430,UPU,Universal Postal Union,Universal Postal Union,1874.0,,,
4440,USP,Univ. of South Pacific,University of the South Pacific (USP),1967.0,,,
1940,VALDIVIA,Group of S. Hemisp. Countries on Env.,Group of Temperate Southern Hemisphere Countries on the Environment/VALDIVA Grou,1995.0,,,
4450,VASAB,Vision & Strategies Around Baltic Sea,Vision and Strategies around the Baltic Sea 2010 (VASAB 2010),1992.0,,,
4490,WAEC,West Afr. Examinations Council,West African Examinations Council,1951.0,,,
4500,WAHC,West African Health Community,West African Health Community (WAHC),1972.0,1987.0,,
4501,WAHO,West African Health Organization,West African Health Organization,1988.0,,,
4480,WARDA,West Africa Rice Dev. Assoc.,West Africa Rice Development Association (WARDA),1970.0,,,
4540,WCDC,Working Community of Danube Countries,Working Community of the Danube Countries,1990.0,,,
1650,WCO,World Customs Org,European Customs Union Study Group (Customs Cooperation Council) (World Customs,1950.0,,,
4510,WEU,Western European Union,Western European Union (WEU),1955.0,,,
4550,WHO,World Health Org,World Health Organization,1946.0,,,
4560,WIPO,World Intell Prop Org,World Intellectual Property Organization (WIPO),1967.0,,,
4530,WMO,World Meteorological Org,World Meteorological Organization,1947.0,,,
4520,WNF,West Nordic Fund,West-Nordic Foundation,1987.0,,,
4460,WPact,Warsaw Treaty Org,Warsaw Treaty Organization,1955.0,1991.0,,
4580,WTO,World Trade Org,World Trade Organization (WTO),1995.0,,,
4570,WTOURO,World Tourism Org.,World Tourism Organization (WTO),1975.0,,,
4470,Wassen,Wassenaar Arrangement,Wassenaar Arrangement on Export Controls for Conventional Arms and,1996.0,,,
